format,k,x,quantized,abs_error,rel_error
tiny8,-17.900000,1.2589254117942538e-18,0.0000000000000000e0,1.2589254117942538e-18,1.0000000000000000e0
tiny8,-17.800000,1.5848931924612276e-18,0.0000000000000000e0,1.5848931924612276e-18,1.0000000000000000e0
tiny8,-17.700000,1.9952623149690300e-18,0.0000000000000000e0,1.9952623149690300e-18,1.0000000000000000e0
tiny8,-17.600000,2.5118864315097775e-18,0.0000000000000000e0,2.5118864315097775e-18,1.0000000000000000e0
tiny8,-17.500000,3.1622776601686379e-18,0.0000000000000000e0,3.1622776601686379e-18,1.0000000000000000e0
tiny8,-17.400000,3.9810717055353111e-18,0.0000000000000000e0,3.9810717055353111e-18,1.0000000000000000e0
tiny8,-17.300000,5.0118723362731654e-18,0.0000000000000000e0,5.0118723362731654e-18,1.0000000000000000e0
tiny8,-17.200000,6.3095734448025109e-18,0.0000000000000000e0,6.3095734448025109e-18,1.0000000000000000e0
tiny8,-17.100000,7.9432823472435692e-18,0.0000000000000000e0,7.9432823472435692e-18,1.0000000000000000e0
tiny8,-17.000000,1.0000000000000982e-17,0.0000000000000000e0,1.0000000000000982e-17,1.0000000000000000e0
tiny8,-16.900000,1.2589254117942949e-17,0.0000000000000000e0,1.2589254117942949e-17,1.0000000000000000e0
tiny8,-16.800000,1.5848931924612793e-17,0.0000000000000000e0,1.5848931924612793e-17,1.0000000000000000e0
tiny8,-16.700000,1.9952623149690950e-17,0.0000000000000000e0,1.9952623149690950e-17,1.0000000000000000e0
tiny8,-16.600000,2.5118864315098596e-17,0.0000000000000000e0,2.5118864315098596e-17,1.0000000000000000e0
tiny8,-16.500000,3.1622776601687413e-17,0.0000000000000000e0,3.1622776601687413e-17,1.0000000000000000e0
tiny8,-16.400000,3.9810717055354416e-17,0.0000000000000000e0,3.9810717055354416e-17,1.0000000000000000e0
tiny8,-16.300000,5.0118723362733295e-17,0.0000000000000000e0,5.0118723362733295e-17,1.0000000000000000e0
tiny8,-16.200000,6.3095734448027167e-17,0.0000000000000000e0,6.3095734448027167e-17,1.0000000000000000e0
tiny8,-16.100000,7.9432823472438292e-17,0.0000000000000000e0,7.9432823472438292e-17,1.0000000000000000e0
tiny8,-16.000000,1.0000000000001268e-16,0.0000000000000000e0,1.0000000000001268e-16,1.0000000000000000e0
tiny8,-15.900000,1.2589254117943259e-16,0.0000000000000000e0,1.2589254117943259e-16,1.0000000000000000e0
tiny8,-15.800000,1.5848931924613118e-16,0.0000000000000000e0,1.5848931924613118e-16,1.0000000000000000e0
tiny8,-15.700000,1.9952623149691277e-16,0.0000000000000000e0,1.9952623149691277e-16,1.0000000000000000e0
tiny8,-15.600000,2.5118864315098902e-16,0.0000000000000000e0,2.5118864315098902e-16,1.0000000000000000e0
tiny8,-15.500000,3.1622776601687673e-16,0.0000000000000000e0,3.1622776601687673e-16,1.0000000000000000e0
tiny8,-15.400000,3.9810717055354576e-16,0.0000000000000000e0,3.9810717055354576e-16,1.0000000000000000e0
tiny8,-15.300000,5.0118723362733299e-16,0.0000000000000000e0,5.0118723362733299e-16,1.0000000000000000e0
tiny8,-15.200000,6.3095734448026914e-16,0.0000000000000000e0,6.3095734448026914e-16,1.0000000000000000e0
tiny8,-15.100000,7.9432823472437639e-16,0.0000000000000000e0,7.9432823472437639e-16,1.0000000000000000e0
tiny8,-15.000000,1.0000000000001186e-15,0.0000000000000000e0,1.0000000000001186e-15,1.0000000000000000e0
tiny8,-14.900000,1.2589254117943156e-15,0.0000000000000000e0,1.2589254117943156e-15,1.0000000000000000e0
tiny8,-14.800000,1.5848931924612989e-15,0.0000000000000000e0,1.5848931924612989e-15,1.0000000000000000e0
tiny8,-14.700000,1.9952623149691113e-15,0.0000000000000000e0,1.9952623149691113e-15,1.0000000000000000e0
