x,quantizer,quantized,abs_error,rel_error
-0.790000,f32_like,-0.790000021458,2.145767230566e-8,2.716161051349e-8
-0.790000,profile_pos_fine_neg_coarse,-0.781250000000,8.750000000000e-3,1.107594936709e-2
-0.780000,bf16_like,-0.781250000000,1.250000000000e-3,1.602564102564e-3
-0.780000,f32_like,-0.779999971390,2.861022929679e-8,3.667978114973e-8
-0.780000,profile_pos_fine_neg_coarse,-0.781250000000,1.250000000000e-3,1.602564102564e-3
-0.770000,bf16_like,-0.769531250000,4.687499999998e-4,6.087662337660e-4
-0.770000,f32_like,-0.769999980927,1.907348612384e-8,2.477076119980e-8
-0.770000,profile_pos_fine_neg_coarse,-0.781250000000,1.125000000000e-2,1.461038961039e-2
-0.760000,bf16_like,-0.761718750000,1.718750000000e-3,2.261513157895e-3
-0.760000,f32_like,-0.759999990463,9.536742950900e-9,1.254834598803e-8
-0.760000,profile_pos_fine_neg_coarse,-0.750000000000,1.000000000000e-2,1.315789473684e-2
-0.750000,bf16_like,-0.750000000000,2.220446049250e-16,2.960594732334e-16
-0.750000,f32_like,-0.750000000000,2.220446049250e-16,2.960594732334e-16
-0.750000,profile_pos_fine_neg_coarse,-0.750000000000,2.220446049250e-16,2.960594732334e-16
-0.740000,bf16_like,-0.738281250000,1.718750000000e-3,2.322635135135e-3
-0.740000,f32_like,-0.740000009537,9.536743394989e-9,1.288749107431e-8
-0.740000,profile_pos_fine_neg_coarse,-0.750000000000,1.000000000000e-2,1.351351351351e-2
-0.730000,bf16_like,-0.730468750000,4.687500000002e-4,6.421232876716e-4
-0.730000,f32_like,-0.730000019073,1.907348656793e-8,2.612806379169e-8
-0.730000,profile_pos_fine_neg_coarse,-0.718750000000,1.125000000000e-2,1.541095890411e-2
-0.720000,bf16_like,-0.718750000000,1.250000000000e-3,1.736111111111e-3
-0.720000,f32_like,-0.720000028610,2.861022974088e-8,3.973643019566e-8
-0.720000,profile_pos_fine_neg_coarse,-0.718750000000,1.250000000000e-3,1.736111111111e-3
-0.710000,bf16_like,-0.710937500000,9.375000000003e-4,1.320422535212e-3
-0.710000,f32_like,-0.709999978542,2.145767186157e-8,3.022207304446e-8
-0.710000,profile_pos_fine_neg_coarse,-0.718750000000,8.750000000000e-3,1.232394366197e-2
-0.700000,bf16_like,-0.699218750000,7.812499999997e-4,1.116071428571e-3
-0.700000,f32_like,-0.699999988079,1.192092868862e-8,1.702989812661e-8
-0.700000,profile_pos_fine_neg_coarse,-0.687500000000,1.250000000000e-2,1.785714285714e-2
-0.690000,bf16_like,-0.691406250000,1.406250000000e-3,2.038043478261e-3
-0.690000,f32_like,-0.689999997616,2.384185515680e-9,3.455341327073e-9
-0.690000,profile_pos_fine_neg_coarse,-0.687500000000,2.500000000000e-3,3.623188405797e-3
-0.680000,bf16_like,-0.679687500000,3.124999999997e-4,4.595588235290e-4
-0.680000,f32_like,-0.680000007153,7.152557657264e-9,1.051846714304e-8
-0.680000,profile_pos_fine_neg_coarse,-0.687500000000,7.500000000000e-3,1.102941176471e-2
-0.670000,bf16_like,-0.671875000000,1.875000000000e-3,2.798507462687e-3
-0.670000,f32_like,-0.670000016689,1.668930083021e-8,2.490940422419e-8
-0.670000,profile_pos_fine_neg_coarse,-0.656250000000,1.375000000000e-2,2.052238805970e-2
-0.660000,bf16_like,-0.660156250000,1.562500000003e-4,2.367424242429e-4
-0.660000,f32_like,-0.660000026226,2.622604400315e-8,3.973643030781e-8
-0.660000,profile_pos_fine_neg_coarse,-0.656250000000,3.750000000000e-3,5.681818181818e-3
-0.650000,bf16_like,-0.648437500000,1.562500000000e-3,2.403846153846e-3
-0.650000,f32_like,-0.649999976158,2.384185759929e-8,3.667978092199e-8
-0.650000,profile_pos_fine_neg_coarse,-0.656250000000,6.250000000000e-3,9.615384615385e-3
-0.640000,bf16_like,-0.640625000000,6.250000000003e-4,9.765625000005e-4
-0.640000,f32_like,-0.639999985695,1.430511442635e-8,2.235174129117e-8
-0.640000,profile_pos_fine_neg_coarse,-0.625000000000,1.500000000000e-2,2.343750000000e-2
-0.630000,bf16_like,-0.628906250000,1.093750000000e-3,1.736111111111e-3
-0.630000,f32_like,-0.629999995232,4.768371253405e-9,7.568843259373e-9
-0.630000,profile_pos_fine_neg_coarse,-0.625000000000,5.000000000000e-3,7.936507936507e-3
-0.620000,bf16_like,-0.621093750000,1.093750000000e-3,1.764112903226e-3
-0.620000,f32_like,-0.620000004768,4.768371919539e-9,7.690922450869e-9
-0.620000,profile_pos_fine_neg_coarse,-0.625000000000,5.000000000000e-3,8.064516129033e-3
-0.610000,bf16_like,-0.609375000000,6.249999999997e-4,1.024590163934e-3
-0.610000,f32_like,-0.610000014305,1.430511509248e-8,2.345100834833e-8
-0.610000,profile_pos_fine_neg_coarse,-0.625000000000,1.500000000000e-2,2.459016393443e-2
-0.600000,bf16_like,-0.601562500000,1.562500000000e-3,2.604166666667e-3
-0.600000,f32_like,-0.600000023842,2.384185826543e-8,3.973643044238e-8
-0.600000,profile_pos_fine_neg_coarse,-0.593750000000,6.250000000000e-3,1.041666666667e-2
-0.590000,bf16_like,-0.589843750000,1.562499999996e-4,2.648305084740e-4
-0.590000,f32_like,-0.589999973774,2.622604333702e-8,4.445092091020e-8
-0.590000,profile_pos_fine_neg_coarse,-0.593750000000,3.750000000000e-3,6.355932203390e-3
